,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,time,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量,CO2_diff,co2
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,24.5,21.600000381469727,19.5,18.5,0.0,True,True,33.09027862548828,74.19342803955078,26.100000381469727,79.4000015258789,937.0,25.100000381469727,82.5999984741211,916.0,197.9482879638672,4328.34228515625,42.08853530883789,21.56244850158692,75.00458526611328,3.567466974258423,180.81793212890625,4068.814697265625,38.06025314331055,22.32111930847168,74.20143127441406,3.6180672645568848,153.10369873046875,5728.12109375,34.45782470703125,14.601667404174805,81.4749984741211,4.057117462158203,1.100000023841858,1.0,1.7699999809265137,4.710000038146973,25.200000762939453,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-15 08:59:13.837891,25.600000381469727,81.0,0,5.804405459210874,5.804405459210874,11.608810918421748,3.0,926.5
2023-05-16,24.5,21.600000381469727,19.5,18.5,100.0,True,True,39.00463104248047,99.86617279052734,27.5,84.30000305175781,1036.0,25.600000381469727,85.5,994.0,1770.6820068359375,13739.291015625,435.46185302734375,23.850812911987305,87.12242889404297,5.55936861038208,1804.472900390625,11258.04296875,444.6230163574219,22.73369407653809,83.57594299316406,6.033735752105713,1812.2418212890625,11297.4970703125,446.7128601074219,22.01893615722656,90.90130615234376,6.368977069854736,1.100000023841858,1.100000023841858,1.7899999618530271,4.739999771118164,25.200000762939453,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-16 08:59:05.475174,26.100000381469727,84.70000076293945,0,9.665095234251025,9.665095234251025,19.33019046850205,62.5,1015.0
2023-05-17,24.5,21.600000381469727,19.5,18.5,100.0,True,True,33.04977035522461,100.0,27.200000762939453,88.5999984741211,5000.0,25.5,90.0,5000.0,1740.447998046875,10939.388671875,427.7339477539063,89.80118560791016,88.92638397216797,9.190113067626951,1786.2802734375,12494.443359375,440.9979248046875,87.93382263183594,86.42356872558594,11.017784118652344,1769.2548828125,17349.01953125,437.1941833496094,84.86166381835938,91.10467529296876,13.43828010559082,1.100000023841858,1.100000023841858,2.0199999809265137,5.699999809265137,25.299999237060547,True,True,3.0,6.0,23.89999961853028,True,False,False,False,True,2023-05-17 08:59:58.628896,26.149999618530277,89.25,0,5.84682616037607,5.84682616037607,11.69365232075214,971.0,5000.0
2023-05-18,24.5,21.600000381469727,19.5,18.5,100.0,True,True,22.413196563720703,100.0,26.100000381469727,90.5,1022.0,25.600000381469727,90.5,996.0,1690.9918212890625,6914.92919921875,415.8517150878906,27.0424747467041,82.63571166992188,10.406184196472168,1747.4925537109375,11143.1953125,432.2357482910156,34.932132720947266,82.35186767578125,6.023502826690674,1747.1783447265625,11313.7568359375,432.4036865234375,22.075284957885746,91.0447998046875,6.386926651000977,1.100000023841858,1.100000023841858,0.0,0.0,0.0,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-18 08:59:43.958577,25.850000381469727,90.5,0,-0.4034815118265152,-0.0366801374387741,-0.4401616492652893,71.5,1009.0
2023-05-19,24.5,21.600000381469727,19.5,18.5,100.0,True,True,24.04224395751953,100.0,26.200000762939453,88.69999694824219,578.0,25.700000762939453,89.0,584.0,1652.2666015625,7784.9208984375,405.8883056640625,24.95113945007324,88.82357025146484,10.398030281066896,7128.18408203125,11669.51953125,1589.0133056640625,22.869279861450195,87.15386962890625,6.049446105957031,1702.9849853515625,11278.7421875,420.4746398925781,21.966598510742188,90.99378204345705,6.35835075378418,1.100000023841858,1.100000023841858,1.940000057220459,5.710000038146973,25.200000762939453,True,True,1.0,6.0,23.799999237060547,True,False,False,False,False,2023-05-19 08:59:37.112583,25.90000057220459,88.75,0,-0.4106624711465911,-0.0373329519224173,-0.4479954230690085,13.0,580.5
2023-05-20,24.5,21.600000381469727,19.5,18.5,100.0,True,True,29.67303466796875,100.0,27.100000381469727,89.19999694824219,5000.0,26.299999237060547,89.5,5000.0,1629.06396484375,8823.6708984375,400.9277648925781,56.703857421875,86.48136138916016,8.663199424743652,1692.7099609375,11062.623046875,419.6860656738281,80.69976806640625,83.30934143066406,10.670650482177734,1691.4481201171875,11259.7763671875,419.6819763183594,21.966175079345703,90.92858123779295,6.346240997314453,1.100000023841858,1.100000023841858,1.899999976158142,5.53000020980835,25.5,True,True,1.0,6.0,23.799999237060547,True,False,False,False,False,2023-05-20 08:59:26.775089,26.699999809265137,89.0,0,3.3355617243075346,3.3355617243075346,6.671123448615069,1524.0,5000.0
2023-05-21,24.5,21.600000381469727,19.5,18.5,100.0,True,True,27.79513931274414,100.0,27.0,89.5999984741211,778.0,26.39999961853028,89.9000015258789,784.0,1592.6427001953125,7710.814453125,391.3654479980469,26.99710464477539,86.8376235961914,7.3160271644592285,1600.15966796875,12144.4072265625,393.9497985839844,80.51557922363281,83.45182037353516,9.395340919494627,1608.78955078125,12320.2353515625,394.4234619140625,22.021804809570312,91.46884155273438,6.46958065032959,1.100000023841858,1.100000023841858,1.8799999952316284,5.320000171661377,25.799999237060547,True,True,1.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-21 08:59:30.213555,26.649999618530277,89.5,0,2.6704620881009107,2.6704620881009107,5.340924176201821,46.5,781.0
2023-05-22,24.5,21.600000381469727,19.5,18.5,100.0,True,True,28.98147964477539,100.0,27.200000762939453,90.4000015258789,1618.0,26.39999961853028,90.0999984741211,1636.0,1599.7608642578125,7807.2509765625,395.5694885253906,24.80397224426269,86.87973022460938,10.23261547088623,1643.8956298828125,11510.4052734375,408.66064453125,81.01506042480469,83.48523712158203,9.441607475280762,1656.75537109375,11305.001953125,411.4718017578125,21.99665260314941,91.16796875,6.355879306793213,1.100000023841858,1.100000023841858,1.8799999952316284,5.039999961853027,25.89999961853028,True,True,2.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-22 08:59:43.283310,26.750000000000004,90.25,0,2.48246035700798,2.48246035700798,4.96492071401596,236.0,1626.5
2023-05-23,24.5,21.600000381469727,19.5,18.5,100.0,False,True,24.933448791503903,100.0,26.100000381469727,88.9000015258789,2470.0,26.200000762939453,87.5,2447.0,1578.0421142578125,7725.39697265625,390.6531677246094,24.37554931640625,86.4079360961914,10.410290718078612,1633.9559326171875,11126.736328125,406.561279296875,79.91415405273438,83.63458251953125,9.504138946533203,1570.48876953125,10838.0634765625,392.0981140136719,21.88367080688477,91.17683410644533,6.281222820281982,1.100000023841858,1.2000000476837158,1.899999976158142,6.510000228881836,25.89999961853028,True,True,1.0,6.0,23.5,True,False,False,False,True,2023-05-23 08:59:15.938829,26.15000057220459,88.1500015258789,0,-0.2470107202935219,-0.0224555200266838,-0.2694662403202057,335.5,2458.5
2023-05-24,24.5,21.600000381469727,19.5,18.5,100.0,False,True,29.57465362548828,100.0,27.39999961853028,88.30000305175781,1088.0,26.39999961853028,87.4000015258789,1109.0,1560.1964111328125,7255.4853515625,385.8870239257813,23.171592712402344,87.81124114990234,6.580955982208252,1552.6312255859375,11899.708984375,384.0437927246094,81.49211120605469,83.01935577392578,9.562651634216309,1336.60986328125,9745.146484375,337.3639831542969,21.70926094055176,91.63616943359376,6.056092739105225,1.100000023841858,1.100000023841858,1.820000052452088,6.03000020980835,25.0,True,True,1.0,6.0,23.799999237060547,True,False,False,False,True,2023-05-24 08:59:37.716950,26.599999427795414,87.70000076293945,0,3.870347349307537,3.870347349307537,7.740694698615074,59.0,1098.0
2023-05-25,24.5,21.600000381469727,19.5,18.5,100.0,False,True,27.10647964477539,100.0,26.39999961853028,90.3000030517578,1171.0,26.200000762939453,90.4000015258789,1207.0,1487.8779296875,6325.13720703125,369.7585144042969,28.07798767089844,84.33788299560547,9.822484970092772,6386.74365234375,10937.982421875,1423.8052978515625,82.5670166015625,83.61772155761719,9.526188850402832,1224.16259765625,9740.0732421875,313.68682861328125,21.62874984741211,90.57878875732422,6.045416831970215,1.100000023841858,1.100000023841858,1.830000042915344,5.789999961853027,25.299999237060547,True,True,1.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-25 08:59:20.954612,26.250000000000004,90.10000228881836,0,0.6463631805109953,0.0587602891373632,0.7051234696483585,82.0,1189.0
2023-05-26,24.5,21.600000381469727,19.5,18.5,100.0,False,True,32.84722137451172,100.0,27.200000762939453,91.0999984741211,1136.0,26.600000381469727,91.5,1162.0,1431.1549072265625,6313.17626953125,356.8265380859375,26.31658363342285,87.7470703125,9.736920356750488,1478.9134521484375,10538.2822265625,370.9521179199219,85.72781372070312,83.17402648925781,9.80967140197754,1244.2152099609375,13560.3720703125,317.32672119140625,21.640174865722656,92.2090835571289,6.321624755859375,1.100000023841858,1.100000023841858,1.7999999523162842,5.340000152587891,25.700000762939453,True,True,2.0,6.0,23.799999237060547,True,False,False,False,False,2023-05-26 08:59:37.984572,26.800000190734863,91.0999984741211,0,5.737476334290505,0.5215887576627731,6.2590650919532775,80.5,1148.5
2023-05-27,24.5,21.600000381469727,19.5,18.5,100.0,False,True,29.07986068725586,100.0,27.200000762939453,91.0999984741211,1302.0,26.5,91.8000030517578,1305.0,1193.3763427734375,6931.85986328125,299.3847045898437,53.233428955078125,89.59339904785156,8.950586318969727,1297.6361083984375,10138.876953125,330.1583557128906,97.9082260131836,87.35245513916016,9.779991149902344,1097.7410888671875,9759.740234375,284.92449951171875,70.0503158569336,93.98816680908205,8.529709815979004,1.100000023841858,1.100000023841858,1.7999999523162842,6.170000076293945,25.799999237060547,True,True,2.0,2.0,23.600000381469727,True,False,False,False,False,2023-05-27 08:59:43.875357,26.850000381469727,91.45000076293944,0,2.756870925207138,0.2506246295642853,3.0074955547714235,111.0,1303.5
2023-05-28,24.5,21.600000381469727,19.5,18.5,100.0,False,True,31.64641571044922,100.0,27.0,91.1999969482422,1387.0,26.39999961853028,91.8000030517578,1366.0,919.5073852539062,6168.91845703125,237.783920288086,26.040861129760746,88.1468276977539,8.155594825744629,922.126708984375,10078.4296875,242.00201416015625,88.14409637451172,83.18560028076172,10.286110877990724,879.1842651367188,9859.349609375,233.9882049560547,21.17276191711425,83.66437530517578,6.03679084777832,1.100000023841858,1.100000023841858,1.7300000190734863,6.050000190734863,25.799999237060547,True,True,2.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-28 08:59:08.029360,26.69999980926514,91.45000076293944,0,4.031937294416425,0.3665397540378568,4.398477048454281,151.5,1376.5
2023-05-29,24.5,21.600000381469727,19.5,18.5,100.0,False,True,36.58565139770508,100.0,27.89999961853028,90.6999969482422,1584.0,26.799999237060547,91.5999984741211,1583.0,746.8442993164062,6056.9921875,196.57861328125,27.79147148132324,87.33023834228516,8.61803150177002,732.5220947265625,9260.3212890625,197.0709228515625,86.52256774902344,83.39785766601562,10.328728675842283,789.3718872070312,9699.8984375,212.50344848632807,20.910978317260746,82.41542053222656,5.977724552154541,1.100000023841858,1.100000023841858,2.319999933242798,6.099999904632568,26.100000381469727,True,True,2.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-29 08:59:42.620156,27.149999618530277,91.04999923706056,0,7.940248526008126,0.7218407750916478,8.662089301099774,209.5,1583.5
2023-05-30,24.5,21.600000381469727,19.5,18.5,100.0,False,True,39.35184860229492,100.0,28.0,90.5,1585.0,26.89999961853028,91.0999984741211,1578.0,581.46923828125,5990.962890625,156.54708862304688,26.013399124145508,83.59732055664062,8.039871215820312,2682.54443359375,8437.5390625,525.2029418945312,91.24758911132812,83.46770477294922,9.65263843536377,687.5822143554688,8834.5400390625,186.3802795410156,36.98423004150391,82.49224853515625,5.80556583404541,1.100000023841858,1.2000000476837158,1.7699999809265137,5.650000095367432,26.200000762939453,True,True,2.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-30 08:59:56.586311,27.39999961853028,90.75,0,10.169426383574008,0.9244933075976371,11.093919691171646,254.5,1581.5
2023-05-31,24.5,21.600000381469727,19.5,18.5,100.0,False,True,29.968170166015625,100.0,27.100000381469727,91.5,1949.0,26.299999237060547,91.5999984741211,1931.0,482.9986877441406,6458.90234375,135.3026885986328,28.59735870361328,93.73514556884766,8.551934242248535,485.978271484375,7633.00927734375,139.06178283691406,90.6500473022461,89.07649230957031,10.16457462310791,499.6978759765625,6894.12890625,140.63088989257812,21.49135971069336,96.55343627929688,4.953717231750488,1.100000023841858,1.100000023841858,2.5199999809265137,6.429999828338623,26.0,True,True,2.0,6.0,23.89999961853028,True,False,False,False,True,2023-05-31 08:59:32.063175,26.699999809265137,91.54999923706056,0,4.255588816452026,0.3868717105865478,4.642460527038574,340.5,1940.0
2023-06-01,24.5,21.600000381469727,19.5,18.5,100.0,False,True,30.46295928955078,100.0,27.100000381469727,91.5,1806.0,26.39999961853028,91.6999969482422,1810.0,267.8764038085937,5692.0673828125,83.72563171386719,32.79584884643555,84.77452850341797,8.744483947753906,343.548583984375,7318.93212890625,104.75249481201172,90.30606079101562,79.27362823486328,14.5390043258667,351.0537109375,6738.07275390625,105.33638763427734,20.73577308654785,88.73936462402344,5.047036647796631,1.100000023841858,1.100000023841858,1.7999999523162842,14.0,26.200000762939453,True,True,2.0,6.0,23.89999961853028,True,False,False,False,True,2023-06-01 08:59:29.037914,26.69999980926514,91.54999923706056,0,4.610957900834084,0.4191779909849166,5.030135891819,303.0,1808.0
2023-06-02,24.5,21.600000381469727,19.5,18.5,100.0,False,True,33.5243034362793,100.0,27.5,92.0,1367.0,26.5,91.6999969482422,1385.0,172.01438903808594,5733.86083984375,59.48560333251953,28.96983528137207,92.0163803100586,9.805434226989746,282.408935546875,8123.01416015625,88.47799682617188,86.60881042480469,85.64265441894531,14.805307388305664,361.0726318359375,6823.29736328125,106.35181427001952,20.95088005065918,85.12979125976562,5.113711357116699,1.100000023841858,1.100000023841858,3.130000114440918,6.21999979019165,26.200000762939453,True,True,2.0,6.0,23.89999961853028,True,False,False,False,False,2023-06-02 08:59:31.149862,27.0,91.6999969482422,0,6.07823325448036,0.5525666594982145,6.630799913978574,137.0,1376.0
2023-06-03,24.5,21.600000381469727,19.5,18.5,100.0,False,True,36.68402862548828,100.0,27.89999961853028,92.9000015258789,914.0,26.100000381469727,92.5999984741211,903.0,101.68858337402344,5334.74853515625,41.4164924621582,28.66392707824707,87.66683197021484,8.589954376220703,254.54519653320312,7132.8427734375,79.15362548828125,86.38572692871094,79.11372375488281,13.393624305725098,391.8081970214844,6612.92333984375,112.38168334960938,21.059555053710938,90.94792175292967,5.06623649597168,1.100000023841858,1.100000023841858,2.109999895095825,5.980000019073486,26.200000762939453,True,True,2.0,6.0,23.89999961853028,True,False,False,False,True,2023-06-03 08:59:07.745896,26.850000381469727,92.75,0,8.657006188323498,0.7870005625748635,9.444006750898362,2.0,908.5
2023-06-04,24.5,21.600000381469727,19.5,18.5,100.0,False,True,28.88309860229492,100.0,27.39999961853028,92.4000015258789,544.0,26.39999961853028,92.0,565.0,47.98203659057617,5172.42431640625,27.39923477172852,30.723865509033203,88.47108459472656,8.45944881439209,550.1734008789062,100000.0,114.32453918457033,90.65013885498048,74.14566040039062,17.131467819213867,396.059326171875,7686.48681640625,112.99893188476562,33.56610870361328,86.69084930419922,5.443577766418457,1.100000023841858,1.100000023841858,2.140000104904175,5.070000171661377,26.0,True,True,2.0,6.0,23.89999961853028,True,False,False,False,True,2023-06-04 08:59:25.584791,26.69999980926514,92.04999923706056,0,2.919778739554885,0.2654344308686259,3.185213170423511,5.0,553.0
2023-06-05,24.5,21.600000381469727,19.5,18.5,100.0,False,True,25.42534637451172,100.0,26.799999237060547,92.0,565.0,26.100000381469727,92.4000015258789,566.0,35.282379150390625,6525.94970703125,22.312089920043945,29.483726501464844,90.08009338378906,9.610112190246582,121.31713104248048,100000.0,44.73936462402344,96.6228256225586,75.17064666748047,15.250359535217283,358.1662902832031,7270.20361328125,104.2263641357422,25.20548248291016,82.99922943115234,5.332297325134277,1.100000023841858,1.100000023841858,2.109999895095825,4.550000190734863,26.0,True,True,2.0,2.0,23.89999961853028,True,False,False,False,True,2023-06-05 08:59:44.313905,26.40000057220459,92.1500015258789,0,0.5658174334859848,0.0514379484987258,0.6172553819847106,6.5,562.5
2023-06-06,24.5,21.600000381469727,19.5,18.5,100.0,False,True,23.055553436279297,100.0,26.299999237060547,91.8000030517578,580.0,25.89999961853028,91.9000015258789,588.0,141.9450225830078,5169.39453125,247.5940093994141,30.43691062927246,90.20903778076172,10.652591705322266,8.651693344116211,100000.0,1.8054120540618896,99.01506042480467,64.70584869384766,15.176589012145996,983.9722900390624,7384.54150390625,225.65530395507807,43.81978225708008,91.74903106689452,5.966527462005615,1.100000023841858,1.100000023841858,2.069999933242798,4.730000019073486,26.0,True,True,2.0,2.0,23.89999961853028,True,False,False,True,True,2023-06-06 08:53:59.569397,26.099999427795414,91.75,0,0.1425264021563529,0.0129569456505775,0.1554833478069305,12.0,579.5
2023-06-07,24.5,21.600000381469727,19.5,18.5,100.0,False,True,30.38772964477539,100.0,26.600000381469727,92.5999984741211,804.0,26.200000762939453,93.3000030517578,803.0,13.11095905303955,4907.86572265625,14.84249782562256,29.50248908996582,90.18057250976562,10.042025566101074,12.95232391357422,3141.2900390625,3.806640863418579,99.99999237060548,73.14415740966797,8.149599075317383,1248.3599853515625,9497.9541015625,318.9674072265625,21.84683418273925,94.46587371826172,6.0029401779174805,1.100000023841858,1.100000023841858,1.9700000286102293,6.0,25.700000762939453,True,True,2.0,6.0,23.299999237060547,True,False,False,False,False,2023-06-06 21:42:21.336352,26.40000057220459,92.95000076293944,0,5.267802153882977,0.4788911048984525,5.74669325878143,38.5,803.5
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
