,时间,表型,温度,湿度,光质强度,pH,EC,光周期,CO2浓度,表型1,光质强度1,光周期1,表型2,光质强度2,光周期2,表型3,光质强度3,光周期3,表型4,光质强度4,光周期4,表型5,光质强度5,光周期5,表型6,光质强度6,光周期6,表型7,光质强度7,光周期7
0,2023-06-18 00:00:00,0,22.1,65,3938,6.5,2.3,16-8,708.1,10,3371,16-8,55,3795,16-8,60,3677,16-8,42,3686,16-8,55,3522,16-8,45,3166,16-8,59,3068,16-8
1,2023-06-18 12:00:00,1,23.8,59,3167,6.4,1.3,18-6,663.8,3,3545,18-6,41,3523,18-6,23,3558,18-6,52,3782,18-6,13,3988,18-6,31,3052,18-6,27,3956,18-6
2,2023-06-19 00:00:00,2,21.6,57,3335,5.3,1.7,16-8,680.8,21,3748,16-8,31,3786,16-8,43,3698,16-8,36,3894,16-8,15,3633,16-8,9,3164,16-8,50,3648,16-8
3,2023-06-19 12:00:00,3,23.7,54,3211,6.2,1.2,18-6,408.7,50,3879,18-6,15,3785,18-6,16,3230,18-6,45,3300,18-6,47,3186,18-6,16,3445,18-6,11,3494,18-6
4,2023-06-20 00:00:00,4,21.8,65,3158,6.1,1.2,16-8,444.2,45,3658,16-8,16,3490,16-8,26,3927,16-8,29,3695,16-8,57,3948,16-8,8,3833,16-8,54,3506,16-8
5,2023-06-20 12:00:00,5,23.8,69,3495,6.2,2.2,18-6,712.4,35,3441,18-6,52,3973,18-6,3,3342,18-6,54,3937,18-6,42,3275,18-6,44,3722,18-6,52,3751,18-6
6,2023-06-21 00:00:00,6,22.1,62,3688,6.3,1.7,16-8,769.7,42,3560,16-8,7,3261,16-8,13,3202,16-8,57,3186,16-8,60,3181,16-8,49,3956,16-8,46,3804,16-8
7,2023-06-21 12:00:00,7,23.8,54,3936,5.5,1.2,18-6,612.1,51,3870,18-6,32,3720,18-6,48,3443,18-6,15,3391,18-6,15,3952,18-6,46,3335,18-6,13,3440,18-6
8,2023-06-22 00:00:00,8,22.2,65,3115,5.8,2.4,16-8,699.4,53,3215,16-8,38,3285,16-8,11,3915,16-8,50,3013,16-8,26,3052,16-8,13,3899,16-8,60,3476,16-8
9,2023-06-22 12:00:00,9,24.2,59,3059,5.0,1.2,18-6,427.6,60,3011,18-6,57,3829,18-6,4,3515,18-6,50,3668,18-6,52,3208,18-6,44,3928,18-6,60,3868,18-6
10,2023-06-23 00:00:00,10,22.1,57,3923,5.7,2.2,16-8,774.3,55,3453,16-8,24,3295,16-8,25,3972,16-8,36,3055,16-8,38,3258,16-8,28,3695,16-8,46,3138,16-8
11,2023-06-23 12:00:00,11,23.8,62,3998,5.8,1.1,18-6,628.9,5,3078,18-6,5,3368,18-6,28,3354,18-6,21,3675,18-6,26,3632,18-6,10,3911,18-6,26,3764,18-6
12,2023-06-24 00:00:00,12,22.4,61,3601,6.1,1.1,16-8,421.9,22,3516,16-8,43,3772,16-8,44,3636,16-8,60,3692,16-8,29,3718,16-8,54,3618,16-8,24,3098,16-8
13,2023-06-24 12:00:00,13,24.2,54,3293,5.7,2.2,18-6,464.7,46,3889,18-6,60,3614,18-6,12,3072,18-6,38,3929,18-6,48,3785,18-6,11,3494,18-6,51,3547,18-6
14,2023-06-25 00:00:00,14,22.3,70,3263,6.3,2.5,16-8,671.2,32,3202,16-8,50,3730,16-8,47,3409,16-8,39,3543,16-8,49,3273,16-8,13,3822,16-8,30,3171,16-8
15,2023-06-25 12:00:00,15,24.1,54,3866,6.3,1.1,18-6,651.3,19,3363,18-6,10,3438,18-6,50,3905,18-6,52,3475,18-6,13,3251,18-6,8,3349,18-6,26,3959,18-6
16,2023-06-26 00:00:00,16,22.0,54,3709,6.1,1.9,16-8,693.7,25,3854,16-8,9,3686,16-8,28,3183,16-8,16,3408,16-8,31,3310,16-8,35,3788,16-8,37,3299,16-8
17,2023-06-26 12:00:00,17,24.5,51,3299,5.7,2.3,18-6,497.0,5,3717,18-6,24,3936,18-6,34,3119,18-6,45,3897,18-6,29,3460,18-6,13,3239,18-6,10,3449,18-6
18,2023-06-27 00:00:00,18,22.3,67,3727,6.0,1.0,16-8,583.2,46,3527,16-8,0,3045,16-8,44,3454,16-8,50,3409,16-8,54,3232,16-8,36,3608,16-8,29,3639,16-8
19,2023-06-27 12:00:00,19,23.9,65,3935,5.7,2.2,18-6,644.0,33,3430,18-6,41,3691,18-6,36,3505,18-6,41,3087,18-6,13,3297,18-6,0,3001,18-6,22,3539,18-6
20,2023-06-28 00:00:00,20,22.2,57,3423,5.6,2.4,16-8,579.7,47,3544,16-8,12,3444,16-8,44,3090,16-8,33,3432,16-8,53,3922,16-8,10,3641,16-8,53,3927,16-8
21,2023-06-28 12:00:00,21,24.0,61,3000,6.0,1.7,18-6,751.2,24,3857,18-6,43,3596,18-6,48,3982,18-6,5,3322,18-6,48,3883,18-6,16,3295,18-6,16,3881,18-6
22,2023-06-29 00:00:00,22,21.5,60,3680,6.0,1.3,16-8,508.2,56,3112,16-8,5,3219,16-8,49,3297,16-8,59,3446,16-8,17,3061,16-8,13,3453,16-8,39,3273,16-8
23,2023-06-29 12:00:00,23,24.0,66,3471,5.6,2.1,18-6,545.4,34,3386,18-6,12,3860,18-6,31,3648,18-6,50,3098,18-6,18,3753,18-6,59,3741,18-6,57,3930,18-6
24,2023-06-30 00:00:00,24,22.2,59,3881,6.2,1.1,16-8,704.4,44,3353,16-8,37,3805,16-8,14,3431,16-8,15,3267,16-8,49,3965,16-8,51,3366,16-8,20,3792,16-8
25,2023-06-30 12:00:00,25,23.6,59,3243,5.1,2.4,18-6,676.8,47,3706,18-6,35,3939,18-6,52,3620,18-6,13,3239,18-6,6,3657,18-6,50,3984,18-6,38,3433,18-6
26,2023-07-01 00:00:00,26,21.7,56,3384,6.1,1.9,16-8,623.2,44,3150,16-8,54,3456,16-8,0,3386,16-8,41,3254,16-8,0,3501,16-8,43,3980,16-8,15,3547,16-8
27,2023-07-01 12:00:00,27,23.8,57,3617,6.2,1.5,18-6,547.3,12,3019,18-6,36,3297,18-6,11,3987,18-6,45,3509,18-6,22,3335,18-6,33,3770,18-6,47,3793,18-6
28,2023-07-02 00:00:00,28,22.0,62,3612,5.0,1.4,16-8,685.8,58,3366,16-8,23,3108,16-8,28,3564,16-8,12,3925,16-8,49,3488,16-8,35,3185,16-8,29,3380,16-8
29,2023-07-02 12:00:00,29,24.4,64,3363,5.3,1.8,18-6,481.7,27,3429,18-6,52,3257,18-6,41,3437,18-6,59,3927,18-6,9,3514,18-6,51,3618,18-6,51,3388,18-6
30,2023-07-03 00:00:00,30,22.5,65,3169,5.6,1.2,16-8,491.1,13,3715,16-8,37,3926,16-8,39,3357,16-8,8,3043,16-8,47,3625,16-8,50,3414,16-8,31,3153,16-8
31,2023-07-03 12:00:00,31,24.2,59,3458,5.0,2.5,18-6,578.1,26,3064,18-6,55,3325,18-6,8,3241,18-6,3,3084,18-6,2,3487,18-6,3,3486,18-6,35,3441,18-6
32,2023-07-04 00:00:00,32,21.6,62,3388,5.8,1.7,16-8,606.6,50,3891,16-8,11,3821,16-8,58,3884,16-8,17,3526,16-8,14,3395,16-8,34,3148,16-8,27,3487,16-8
33,2023-07-04 12:00:00,33,24.2,62,3377,5.9,1.1,18-6,539.3,45,3989,18-6,0,3678,18-6,45,3440,18-6,58,3123,18-6,58,3870,18-6,37,3166,18-6,54,3195,18-6
34,2023-07-05 00:00:00,34,22.3,52,3027,5.9,2.1,16-8,632.9,28,3232,16-8,22,3484,16-8,56,3428,16-8,52,3139,16-8,54,3207,16-8,27,3785,16-8,15,3019,16-8
35,2023-07-05 12:00:00,35,23.8,65,3223,5.1,1.5,18-6,662.6,37,3553,18-6,15,3554,18-6,30,3386,18-6,45,3297,18-6,23,3532,18-6,35,3932,18-6,48,3505,18-6
36,2023-07-06 00:00:00,36,21.6,68,3319,6.1,1.1,16-8,540.6,47,3209,16-8,4,3351,16-8,45,3940,16-8,49,3275,16-8,16,3080,16-8,17,3747,16-8,56,3788,16-8
37,2023-07-06 12:00:00,37,23.5,52,3543,6.1,1.1,18-6,498.6,24,3077,18-6,45,3425,18-6,52,3067,18-6,35,3718,18-6,42,3746,18-6,15,3909,18-6,1,3161,18-6
38,2023-07-07 00:00:00,38,22.2,55,3627,5.2,2.2,16-8,444.5,35,3666,16-8,37,3650,16-8,36,3850,16-8,25,3064,16-8,3,3690,16-8,60,3108,16-8,3,3140,16-8
39,2023-07-07 12:00:00,39,24.5,70,3955,5.1,1.1,18-6,750.3,42,3839,18-6,36,3751,18-6,34,3859,18-6,53,3661,18-6,5,3869,18-6,54,3477,18-6,56,3324,18-6
40,2023-07-08 00:00:00,40,21.6,52,3829,5.2,2.3,16-8,708.3,54,3590,16-8,57,3054,16-8,8,3207,16-8,6,3356,16-8,43,3569,16-8,40,3317,16-8,10,3104,16-8
41,2023-07-08 12:00:00,41,24.1,54,3305,6.0,1.5,18-6,622.3,26,3123,18-6,12,3541,18-6,5,3185,18-6,28,3481,18-6,60,3657,18-6,16,3779,18-6,56,3594,18-6
42,2023-07-09 00:00:00,42,21.7,57,3320,5.7,1.3,16-8,429.8,42,3034,16-8,22,3084,16-8,24,3623,16-8,13,3362,16-8,8,3229,16-8,10,3764,16-8,10,3433,16-8
43,2023-07-09 12:00:00,43,23.7,55,3546,5.6,1.8,18-6,599.1,41,3060,18-6,18,3659,18-6,9,3364,18-6,9,3099,18-6,1,3930,18-6,30,3209,18-6,56,3461,18-6
44,2023-07-10 00:00:00,44,22.0,57,3944,6.3,1.3,16-8,685.6,50,3302,16-8,23,3842,16-8,43,3422,16-8,52,3629,16-8,24,3886,16-8,57,3787,16-8,6,3578,16-8
45,2023-07-10 12:00:00,45,24.4,55,3202,5.9,2.4,18-6,498.7,17,3625,18-6,28,3851,18-6,49,3062,18-6,14,3036,18-6,38,3663,18-6,43,3987,18-6,12,3782,18-6
46,2023-07-11 00:00:00,46,22.0,68,3676,6.2,1.4,16-8,604.3,23,3370,16-8,56,3202,16-8,31,3818,16-8,11,3294,16-8,10,3197,16-8,53,3442,16-8,43,3388,16-8
47,2023-07-11 12:00:00,47,23.5,57,3377,5.2,1.3,18-6,702.4,45,3708,18-6,29,3604,18-6,53,3455,18-6,38,3914,18-6,26,3563,18-6,20,3853,18-6,15,3230,18-6
48,2023-07-12 00:00:00,48,22.4,62,3250,5.9,1.9,16-8,415.0,13,3969,16-8,35,3284,16-8,24,3703,16-8,10,3336,16-8,40,3036,16-8,48,3397,16-8,13,3278,16-8
49,2023-07-12 12:00:00,49,23.5,60,3668,5.1,2.0,18-6,523.3,7,3596,18-6,46,3089,18-6,58,3741,18-6,49,3142,18-6,42,3803,18-6,13,3530,18-6,50,3095,18-6
50,2023-07-13 00:00:00,50,22.3,69,3101,6.4,1.4,16-8,440.6,15,3243,16-8,23,3942,16-8,57,3853,16-8,36,3649,16-8,30,3436,16-8,26,3106,16-8,47,3012,16-8
51,2023-07-13 12:00:00,51,24.1,58,3779,5.9,2.4,18-6,564.2,21,3206,18-6,35,3313,18-6,0,3440,18-6,43,3300,18-6,10,3548,18-6,7,3055,18-6,53,3285,18-6
52,2023-07-14 00:00:00,52,22.3,60,3577,5.9,1.5,16-8,492.9,27,3659,16-8,2,3924,16-8,33,3924,16-8,51,3127,16-8,1,3367,16-8,29,3641,16-8,13,3758,16-8
53,2023-07-14 12:00:00,53,24.3,63,3388,6.1,1.3,18-6,740.7,44,3242,18-6,2,3331,18-6,20,3266,18-6,36,3803,18-6,31,3886,18-6,32,3804,18-6,41,3829,18-6
54,2023-07-15 00:00:00,54,22.4,56,3288,5.6,1.2,16-8,692.2,21,3375,16-8,33,3037,16-8,38,3363,16-8,36,3876,16-8,15,3237,16-8,35,3163,16-8,14,3933,16-8
55,2023-07-15 12:00:00,55,23.5,70,3947,5.9,1.5,18-6,669.9,2,3169,18-6,16,3027,18-6,2,3421,18-6,56,3925,18-6,60,3004,18-6,2,3210,18-6,38,3753,18-6
56,2023-07-16 00:00:00,56,21.6,60,3327,5.9,1.4,16-8,748.7,50,3680,16-8,3,3382,16-8,21,3182,16-8,25,3945,16-8,29,3481,16-8,14,3473,16-8,49,3037,16-8
57,2023-07-16 12:00:00,57,23.9,53,3927,6.4,1.1,18-6,549.9,3,3128,18-6,13,3234,18-6,20,3243,18-6,24,3858,18-6,13,3497,18-6,37,3475,18-6,39,3376,18-6
58,2023-07-17 00:00:00,58,22.4,58,3519,5.2,2.4,16-8,658.0,29,3549,16-8,31,3934,16-8,7,3982,16-8,58,3867,16-8,17,3032,16-8,30,3843,16-8,36,3985,16-8
59,2023-07-17 12:00:00,59,23.8,53,3251,5.1,2.0,18-6,413.9,35,3889,18-6,44,3139,18-6,1,3191,18-6,21,3574,18-6,44,3622,18-6,23,3872,18-6,38,3676,18-6
